Generation 	 MaximumFitness 	 AverageFitness 	 GeneticDiversity 
244          0.386589             0.362531                  0.024058 
245          0.386417             0.363850                  0.022566 
246          0.384006             0.364950                  0.019056 
247          0.387422             0.366071                  0.021351 
248          0.390128             0.366483                  0.023645 
249          0.389417             0.367170                  0.022247 
250          0.391189             0.368175                  0.023014 
251          0.395944             0.369119                  0.026826 
252          0.393806             0.370130                  0.023676 
253          0.393472             0.370784                  0.022688 
254          0.390583             0.371319                  0.019265 
255          0.394517             0.371703                  0.022813 
256          0.396933             0.372309                  0.024624 
257          0.398572             0.372656                  0.025916 
258          0.396639             0.373838                  0.022801 
259          0.399300             0.374634                  0.024666 
260          0.398983             0.375554                  0.023429 
261          0.400944             0.376062                  0.024882 
262          0.397956             0.376647                  0.021309 
263          0.399722             0.377319                  0.022403 
264          0.398961             0.378418                  0.020543 
265          0.402617             0.379162                  0.023454 
266          0.406550             0.379740                  0.026810 
267          0.407200             0.379982                  0.027218 
268          0.402461             0.380328                  0.022133 
269          0.406389             0.381446                  0.024943 
270          0.414950             0.382865                  0.032085 
271          0.411933             0.383656                  0.028278 
272          0.407900             0.384734                  0.023166 
273          0.408944             0.385792                  0.023152 
274          0.408467             0.386329                  0.022138 
275          0.408544             0.386594                  0.021951 
276          0.414328             0.387000                  0.027327 
277          0.411550             0.387902                  0.023648 
278          0.409050             0.388421                  0.020629 
279          0.414844             0.388853                  0.025991 
280          0.410822             0.389586                  0.021236 
281          0.416378             0.390018                  0.026359 
282          0.415839             0.390506                  0.025333 
283          0.417122             0.390774                  0.026348 
284          0.416017             0.391815                  0.024202 
285          0.414844             0.392091                  0.022754 
286          0.419078             0.392777                  0.026301 
287          0.418072             0.393951                  0.024122 
288          0.418289             0.394481                  0.023807 
289          0.418906             0.395515                  0.023390 
290          0.419817             0.395856                  0.023961 
291          0.419200             0.396636                  0.022564 
292          0.425489             0.396957                  0.028532 
293          0.419872             0.397488                  0.022384 
294          0.421739             0.397868                  0.023871 
295          0.421883             0.398659                  0.023225 
296          0.423533             0.399701                  0.023833 
297          0.424256             0.399960                  0.024296 
298          0.426039             0.400290                  0.025749 
299          0.425306             0.401049                  0.024257 
300          0.423978             0.402107                  0.021871 
301          0.428094             0.403131                  0.024963 
302          0.432928             0.403605                  0.029323 
303          0.430778             0.404279                  0.026499 
304          0.428339             0.404439                  0.023900 
305          0.430983             0.404833                  0.026151 
306          0.429756             0.405194                  0.024562 
307          0.433439             0.406399                  0.027040 
308          0.428450             0.406970                  0.021480 
309          0.430194             0.407418                  0.022776 
310          0.432889             0.407755                  0.025134 
311          0.434283             0.409046                  0.025237 
312          0.432850             0.409708                  0.023142 
313          0.436244             0.409929                  0.026315 
314          0.433150             0.410974                  0.022176 
315          0.437439             0.410963                  0.026476 
316          0.433850             0.411157                  0.022693 
317          0.440044             0.411743                  0.028301 
318          0.434794             0.412485                  0.022310 
319          0.436900             0.412972                  0.023928 
320          0.437133             0.414093                  0.023041 
321          0.439883             0.414168                  0.025715 
322          0.435944             0.414903                  0.021041 
323          0.438939             0.414834                  0.024105 
324          0.441506             0.415573                  0.025933 
325          0.437822             0.416245                  0.021577 
326          0.442183             0.416652                  0.025531 
327          0.438722             0.417173                  0.021549 
328          0.444950             0.418032                  0.026918 
329          0.439244             0.418811                  0.020433 
330          0.442422             0.418980                  0.023442 
331          0.448017             0.419866                  0.028151 
332          0.445022             0.420916                  0.024106 
333          0.448139             0.421663                  0.026476 
334          0.444594             0.422244                  0.022350 
335          0.448094             0.422672                  0.025423 
336          0.448828             0.423204                  0.025624 
337          0.451522             0.424306                  0.027216 
338          0.451556             0.425064                  0.026491 
339          0.454133             0.425599                  0.028535 
340          0.451678             0.426191                  0.025487 
341          0.451033             0.427237                  0.023797 
342          0.454856             0.427743                  0.027112 
343          0.453000             0.428226                  0.024774 
344          0.453789             0.428630                  0.025159 
345          0.453950             0.429753                  0.024197 
346          0.453017             0.430244                  0.022773 
347          0.460572             0.430741                  0.029831 
348          0.455978             0.431362                  0.024616 
349          0.460489             0.431496                  0.028992 
350          0.460639             0.431914                  0.028725 
351          0.456161             0.432441                  0.023720 
352          0.457461             0.433302                  0.024159 
353          0.455728             0.433295                  0.022433 
354          0.461106             0.434138                  0.026968 
355          0.459289             0.434795                  0.024494 
356          0.458694             0.435610                  0.023085 
357          0.455861             0.435813                  0.020048 
358          0.465361             0.436271                  0.029090 
359          0.462278             0.436756                  0.025521 
360          0.459783             0.437630                  0.022153 
361          0.466983             0.438350                  0.028633 
362          0.468722             0.439312                  0.029410 
363          0.466928             0.439999                  0.026929 
364          0.466811             0.440629                  0.026182 
365          0.464594             0.441008                  0.023586 
366          0.467894             0.441940                  0.025955 
367          0.466750             0.442842                  0.023908 
368          0.466622             0.443135                  0.023487 
369          0.467811             0.443611                  0.024200 
370          0.469417             0.444200                  0.025216 
371          0.470511             0.444604                  0.025907 
372          0.471883             0.445584                  0.026299 
373          0.468494             0.445514                  0.022980 
374          0.468994             0.446022                  0.022973 
375          0.474333             0.446736                  0.027598 
376          0.473911             0.447505                  0.026406 
377          0.478672             0.448593                  0.030079 
378          0.477389             0.449405                  0.027984 
379          0.479539             0.450147                  0.029391 
380          0.475050             0.450575                  0.024475 
381          0.480306             0.451403                  0.028903 
382          0.479183             0.452302                  0.026881 
383          0.479822             0.452655                  0.027167 
384          0.485533             0.453043                  0.032491 
385          0.479550             0.453633                  0.025917 
386          0.481239             0.454902                  0.026337 
387          0.479672             0.455855                  0.023818 
388          0.480806             0.456453                  0.024353 
389          0.482628             0.456733                  0.025895 
390          0.482100             0.456726                  0.025374 
391          0.481767             0.457529                  0.024237 
392          0.481511             0.458269                  0.023242 
393          0.484622             0.459246                  0.025376 
394          0.489611             0.459314                  0.030297 
395          0.487883             0.459957                  0.027927 
396          0.486122             0.460989                  0.025133 
397          0.487256             0.460924                  0.026332 
398          0.487311             0.461274                  0.026037 
399          0.493311             0.461933                  0.031378 
400          0.506711             0.462518                  0.044193 
401          0.492317             0.463266                  0.029051 
402          0.485094             0.464300                  0.020794 
403          0.487078             0.464702                  0.022376 
404          0.494928             0.465404                  0.029523 
405          0.491267             0.465187                  0.026080 
406          0.493489             0.465636                  0.027853 
407          0.492000             0.466501                  0.025499 
408          0.493883             0.467768                  0.026116 
409          0.494111             0.468227                  0.025884 
410          0.493244             0.468960                  0.024284 
411          0.499294             0.469027                  0.030268 
412          0.498617             0.469456                  0.029161 
413          0.495450             0.470021                  0.025429 
414          0.500117             0.470462                  0.029655 
415          0.493444             0.471152                  0.022293 
416          0.497678             0.471603                  0.026075 
417          0.499700             0.472040                  0.027660 
418          0.498139             0.472827                  0.025312 
419          0.497450             0.473992                  0.023458 
420          0.499633             0.474658                  0.024976 
421          0.503300             0.474855                  0.028445 
422          0.504483             0.475673                  0.028810 
423          0.501000             0.476018                  0.024982 
424          0.501261             0.476364                  0.024897 
425          0.506728             0.476157                  0.030571 
426          0.501983             0.476717                  0.025267 
427          0.513600             0.477519                  0.036081 
428          0.504494             0.478612                  0.025883 
429          0.506894             0.478569                  0.028326 
430          0.504772             0.479074                  0.025699 
431          0.503744             0.478693                  0.025051 
432          0.507506             0.478676                  0.028830 
433          0.503933             0.478733                  0.025200 
434          0.506789             0.479419                  0.027370 
435          0.512494             0.479786                  0.032708 
436          0.506339             0.479965                  0.026374 
437          0.504706             0.480637                  0.024069 
438          0.507717             0.481534                  0.026183 
439          0.508006             0.481842                  0.026163 
440          0.506683             0.481692                  0.024991 
441          0.506856             0.482162                  0.024694 
442          0.509317             0.482452                  0.026864 
443          0.507672             0.482949                  0.024723 
444          0.511189             0.483408                  0.027781 
445          0.511756             0.483781                  0.027975 
446          0.511678             0.484097                  0.027581 
447          0.520294             0.485214                  0.035080 
448          0.513500             0.486135                  0.027365 
449          0.512294             0.486668                  0.025626 
450          0.516950             0.487203                  0.029747 
451          0.518272             0.488471                  0.029801 
452          0.519606             0.488667                  0.030939 
453          0.515628             0.489226                  0.026401 
454          0.522367             0.489549                  0.032817 
455          0.513044             0.489114                  0.023931 
456          0.517928             0.489589                  0.028339 
457          0.516950             0.490680                  0.026270 
458          0.524561             0.490517                  0.034044 
459          0.518183             0.490933                  0.027251 
460          0.520800             0.491868                  0.028932 
461          0.522272             0.492323                  0.029949 
462          0.519322             0.492395                  0.026927 
463          0.519856             0.492890                  0.026966 
464          0.519206             0.493344                  0.025862 
465          0.529206             0.493381                  0.035824 
466          0.522717             0.494212                  0.028504 
467          0.525639             0.494576                  0.031063 
468          0.523406             0.494770                  0.028636 
469          0.520117             0.495053                  0.025064 
470          0.519133             0.495338                  0.023795 
471          0.520511             0.495780                  0.024731 
472          0.524761             0.496287                  0.028474 
473          0.525806             0.497221                  0.028585 
474          0.524078             0.497980                  0.026097 
475          0.525778             0.498646                  0.027132 
476          0.522778             0.498736                  0.024042 
477          0.524267             0.499897                  0.024370 
478          0.526644             0.499907                  0.026738 
479          0.525000             0.500481                  0.024519 
480          0.527006             0.500835                  0.026171 
481          0.526922             0.500903                  0.026019 
482          0.524672             0.501509                  0.023163 
483          0.526061             0.501483                  0.024578 
484          0.527917             0.501322                  0.026595 
485          0.529633             0.502014                  0.027619 
486          0.533178             0.502339                  0.030838 
