Generation 	 MaximumFitness 	 AverageFitness 	 GeneticDiversity 
644          0.810926             0.774972                  0.035954 
645          0.825000             0.774978                  0.050022 
646          0.816944             0.776079                  0.040866 
647          0.816204             0.776408                  0.039795 
648          0.815463             0.777814                  0.037649 
649          0.815833             0.776476                  0.039357 
650          0.816019             0.777106                  0.038913 
651          0.822315             0.777369                  0.044946 
652          0.825370             0.778103                  0.047267 
653          0.826019             0.780241                  0.045778 
654          0.829815             0.779474                  0.050341 
655          0.821296             0.781075                  0.040221 
656          0.838056             0.780653                  0.057402 
657          0.827685             0.782066                  0.045619 
658          0.822315             0.782881                  0.039433 
659          0.823889             0.783606                  0.040283 
660          0.819444             0.783028                  0.036417 
661          0.828056             0.782972                  0.045083 
662          0.828889             0.782633                  0.046256 
663          0.823796             0.785349                  0.038447 
664          0.830093             0.786104                  0.043988 
665          0.827222             0.785277                  0.041945 
666          0.831204             0.784628                  0.046576 
667          0.829722             0.785352                  0.044370 
668          0.826944             0.785573                  0.041371 
669          0.822407             0.784317                  0.038091 
670          0.823148             0.783824                  0.039325 
671          0.828704             0.784920                  0.043783 
672          0.829259             0.788062                  0.041197 
673          0.830741             0.787543                  0.043198 
674          0.828333             0.787463                  0.040870 
675          0.825556             0.787521                  0.038035 
676          0.831019             0.789298                  0.041720 
677          0.829259             0.788767                  0.040493 
678          0.826759             0.790641                  0.036119 
679          0.829815             0.792539                  0.037275 
680          0.826944             0.794706                  0.032238 
681          0.836944             0.795396                  0.041548 
682          0.837222             0.793612                  0.043610 
683          0.836852             0.794180                  0.042672 
684          0.838056             0.793933                  0.044123 
685          0.835833             0.794123                  0.041710 
686          0.827037             0.794860                  0.032177 
687          0.839537             0.793061                  0.046476 
688          0.836389             0.790994                  0.045395 
689          0.832407             0.792136                  0.040272 
690          0.836481             0.790562                  0.045920 
691          0.835370             0.790631                  0.044739 
692          0.835370             0.788938                  0.046432 
693          0.832130             0.790286                  0.041844 
694          0.832593             0.790652                  0.041941 
695          0.833611             0.792882                  0.040729 
696          0.832037             0.794483                  0.037554 
697          0.844259             0.796287                  0.047972 
698          0.834259             0.795004                  0.039255 
699          0.836852             0.794379                  0.042473 
700          0.835833             0.794313                  0.041520 
701          0.838981             0.793173                  0.045809 
702          0.832778             0.793485                  0.039293 
703          0.827778             0.792158                  0.035620 
704          0.835185             0.792294                  0.042891 
705          0.826574             0.790783                  0.035791 
706          0.832963             0.791702                  0.041261 
707          0.826204             0.790585                  0.035619 
708          0.828241             0.791124                  0.037117 
709          0.830556             0.790848                  0.039707 
710          0.828333             0.791270                  0.037063 
711          0.826667             0.791103                  0.035563 
712          0.836389             0.792169                  0.044220 
713          0.825741             0.792237                  0.033504 
714          0.833426             0.790128                  0.043298 
715          0.837407             0.791226                  0.046181 
716          0.837685             0.794489                  0.043196 
717          0.835278             0.794092                  0.041186 
718          0.836204             0.797109                  0.039095 
719          0.848333             0.796455                  0.051879 
720          0.836481             0.796768                  0.039713 
721          0.832407             0.796168                  0.036239 
722          0.845648             0.796283                  0.049365 
723          0.834537             0.796292                  0.038245 
724          0.837130             0.797209                  0.039921 
725          0.836019             0.797487                  0.038532 
726          0.833889             0.795392                  0.038497 
727          0.835648             0.793681                  0.041968 
728          0.832315             0.793295                  0.039020 
729          0.829630             0.792867                  0.036762 
730          0.839630             0.791991                  0.047638 
731          0.835556             0.792214                  0.043342 
